appid,positive_ratings,negative_ratings,total_ratings,rating_percentage
4500,19229,864,20093,0.9569999502314239
4560,3584,262,3846,0.9318772750910036
4570,4707,203,4910,0.9586558044806517
4580,4705,169,4874,0.9653262207632335
4700,16508,750,17258,0.9565418936145555
4720,1417,212,1629,0.8698588090853284
4760,10274,618,10892,0.9432611090708777
4850,1534,203,1737,0.8831318364997122
4920,6700,1130,7830,0.855683269476373
6000,9944,469,10413,0.9549601459713819
6020,8747,360,9107,0.9604699681563632
6030,2807,265,3072,0.9137369791666666
6060,37099,2416,39515,0.938858661267873
6120,1703,177,1880,0.9058510638297872
6200,1207,152,1359,0.8881530537159676
6220,2933,230,3163,0.9272842238381284
6310,1315,136,1451,0.9062715368711234
6550,1388,988,2376,0.5841750841750841
6800,2196,275,2471,0.8887090246863618
6830,1622,299,1921,0.8443519000520562
6850,1607,315,1922,0.836108220603538
6860,7602,497,8099,0.9386343993085566
6880,2222,1122,3344,0.6644736842105263
6900,1510,585,2095,0.720763723150358
6910,9070,483,9553,0.9494399665026693
6920,863,649,1512,0.5707671957671958
6980,1439,324,1763,0.8162223482699943
7000,2894,377,3271,0.884744726383369
7110,1028,355,1383,0.7433116413593637
7200,1389,87,1476,0.9410569105691057
7520,2012,1381,3393,0.5929855585027999
7600,1263,550,1813,0.6966354109211252
7760,2347,82,2429,0.9662412515438452
7830,2044,263,2307,0.8859991330732553
7940,11576,920,12496,0.9263764404609475
8000,3433,749,4182,0.8208990913438546
8080,1567,791,2358,0.6645462256149279
8140,3043,963,4006,0.7596105841238143
8170,1449,639,2088,0.6939655172413793
8190,33683,3542,37225,0.9048488918737407
8500,5669,1221,6890,0.8227866473149492
8600,902,112,1014,0.8895463510848126
8800,2257,77,2334,0.9670094258783205
8870,84567,4329,88896,0.9513026457883369
8930,106377,4313,110690,0.9610353238774957
9010,4753,387,5140,0.9247081712062257
9050,4517,549,5066,0.8916304776944335
9180,1077,74,1151,0.9357080799304952
9200,7752,2569,10321,0.751090010657882
9310,974,97,1071,0.9094304388422035
9350,1318,174,1492,0.8833780160857909
9420,6475,215,6690,0.9678624813153961
9450,8284,393,8677,0.9547078483346779
9480,6712,1964,8676,0.7736284001844168
10090,30447,2380,32827,0.9274987053340238
10150,5429,1360,6789,0.7996759463838562
10180,20460,1690,22150,0.9237020316027088
10220,691,1182,1873,0.36892685531233316
10500,12674,1480,14154,0.8954359191747916
10680,9692,1079,10771,0.8998236004085043
11450,3557,232,3789,0.9387701240432832
12100,8431,1388,9819,0.8586414095121703
12110,19492,1631,21123,0.9227855891682053
12120,57696,5420,63116,0.9141263704924266
12130,1230,549,1779,0.6913996627318718
12140,7050,825,7875,0.8952380952380953
12150,4538,282,4820,0.9414937759336099
12200,13617,2615,16232,0.8388984721537703
12210,61304,19748,81052,0.7563539456151607
12220,5586,2065,7651,0.7301006404391582
12320,2311,461,2772,0.8336940836940837
12360,2766,467,3233,0.8555521187751315
12710,1106,86,1192,0.9278523489932886
12810,2593,323,2916,0.8892318244170097
12830,883,430,1313,0.6725057121096725
13210,1951,241,2192,0.8900547445255474
13230,2760,72,2832,0.9745762711864406
13240,2734,79,2813,0.9719161038037682
13250,1001,67,1068,0.9372659176029963
13500,1461,247,1708,0.8553864168618267
13520,4781,1019,5800,0.8243103448275862
13530,835,232,1067,0.7825679475164011
13560,1632,237,1869,0.8731942215088283
13570,2841,198,3039,0.9348469891411648
13580,431,679,1110,0.38828828828828826
13600,1775,272,2047,0.8671226184660479
15100,9551,1877,11428,0.8357542877143858
15120,3175,557,3732,0.8507502679528403
15130,2215,329,2544,0.8706761006289309
15170,2204,303,2507,0.8791384124451536
15210,1425,211,1636,0.8710268948655256
15320,1677,188,1865,0.8991957104557641
15370,1736,132,1868,0.9293361884368309
15390,1254,147,1401,0.8950749464668094
15620,4438,627,5065,0.8762092793682132
15700,1630,147,1777,0.9172763083849184
15710,1094,60,1154,0.9480069324090121
15750,967,149,1116,0.8664874551971327
16450,2545,435,2980,0.8540268456375839
16720,1115,735,1850,0.6027027027027027
16730,1018,826,1844,0.5520607375271149
16900,4023,471,4494,0.8951935914552737
17300,8770,2127,10897,0.8048086629347527
17330,2419,441,2860,0.8458041958041959
17390,33606,3108,36714,0.9153456447131885
17410,21307,3052,24359,0.8747075003078945
17430,5005,1729,6734,0.7432432432432432
17440,1076,149,1225,0.8783673469387755
17450,7851,678,8529,0.9205065072106929
17460,13205,843,14048,0.9399914578587699
17470,14032,1276,15308,0.9166448915599686
17480,7626,1365,8991,0.8481815148481815
17710,1174,318,1492,0.7868632707774799
18500,3517,114,3631,0.968603690443404
19000,523,579,1102,0.4745916515426497
19830,1151,97,1248,0.9222756410256411
19900,8162,2396,10558,0.7730630801288123
19980,1552,405,1957,0.7930505876341338
20510,8992,1250,10242,0.8779535247022066
20530,1466,215,1681,0.8720999405116002
20540,1177,98,1275,0.9231372549019607
20570,1227,159,1386,0.8852813852813853
20900,52565,6526,59091,0.8895601699074309
20920,56043,6216,62259,0.9001590131547246
21000,3180,453,3633,0.8753096614368291
21090,6927,414,7341,0.9436044135676338
21100,3500,1408,4908,0.713121434392828
21130,3491,619,4110,0.8493917274939172
21690,16370,2409,18779,0.8717184088609617
21980,2005,351,2356,0.851018675721562
22000,3235,187,3422,0.945353594389246
22100,3913,320,4233,0.9244034963382943
22120,1809,118,1927,0.9387649195640893
22180,2226,248,2474,0.8997574777687954
22200,1523,213,1736,0.8773041474654378
22230,2444,234,2678,0.912621359223301
22300,10685,3014,13699,0.7799839404336083
22320,13540,687,14227,0.9517115344064103
22330,26016,1204,27220,0.9557678177810434
22350,1090,748,1838,0.5930359085963003
22370,20799,5958,26757,0.7773292970063909
22380,111471,4214,115685,0.9635734969961534
22600,2300,393,2693,0.8540660972892685
24010,10227,4570,14797,0.691153612218693
24240,17531,1376,18907,0.9272227217432697
24670,848,282,1130,0.7504424778761062
24720,4039,593,4632,0.8719775474956822
24740,7548,1061,8609,0.8767568823324428
24780,4593,1221,5814,0.7899896800825593
24790,4470,469,4939,0.9050415063778092
24800,2206,325,2531,0.8715922560252864
24810,2446,114,2560,0.95546875
24840,3015,723,3738,0.8065810593900482
24870,1784,553,2337,0.7633718442447582
24960,25456,4492,29948,0.8500066782422866
24980,12245,754,12999,0.9419955381183168
25000,3391,740,4131,0.8208666182522392
25800,1042,177,1219,0.8547990155865464
25830,1602,131,1733,0.9244085401038661
25890,3329,964,4293,0.775448404379222
25900,1794,181,1975,0.9083544303797468
26800,5244,338,5582,0.9394482264421354
28000,3039,1817,4856,0.625823723228995
29800,2716,706,3422,0.7936879018118059
31270,1085,141,1226,0.8849918433931484
32330,954,181,1135,0.8405286343612335
32360,3225,143,3368,0.957541567695962
32370,19165,1948,21113,0.907734571117321
32380,1006,308,1314,0.7656012176560122
32400,1647,189,1836,0.8970588235294118
32430,3716,1401,5117,0.7262067617744772
32440,12456,440,12896,0.9658808933002482
32460,1601,83,1684,0.9507125890736342
32470,21223,580,21803,0.9733981562170344
32500,2436,1554,3990,0.6105263157894737
32510,3702,244,3946,0.9381652306132793
33100,1570,77,1647,0.9532483302975107
33120,1015,79,1094,0.9277879341864717
33230,27739,3584,31323,0.8855792867860678
33320,908,420,1328,0.6837349397590361
33460,1551,783,2334,0.6645244215938303
33900,1530,295,1825,0.8383561643835616
