appid,positive_ratings,negative_ratings,total_ratings,rating_percentage
244850,71020,8552,79572,0.8925250087970643
244870,2289,252,2541,0.9008264462809917
244910,850,253,1103,0.7706255666364461
244930,1419,779,2198,0.6455868971792539
245170,15544,751,16295,0.9539122430193311
245280,3530,584,4114,0.8580456976178902
245390,991,125,1116,0.8879928315412187
245470,4558,1571,6129,0.743677598303149
245490,1238,587,1825,0.6783561643835616
245620,7059,1926,8985,0.7856427378964942
246090,592,2642,3234,0.18305504019789734
246110,811,308,1119,0.7247542448614834
246420,6891,198,7089,0.9720694033008886
246580,1797,277,2074,0.8664416586306654
246620,35028,2063,37091,0.9443800382842199
246700,1076,512,1588,0.6775818639798489
246760,926,287,1213,0.763396537510305
246840,1952,107,2059,0.9480330257406508
246900,10141,718,10859,0.9338797310986279
247000,3246,803,4049,0.8016794270190171
247020,3175,152,3327,0.9543131950706342
247080,17801,734,18535,0.9603992446722417
247240,1252,228,1480,0.845945945945946
247430,1385,222,1607,0.8618543870566272
247660,1559,713,2272,0.6861795774647887
247730,5754,8383,14137,0.4070170474641013
247950,491,1516,2007,0.24464374688589935
248310,2623,95,2718,0.9650478292862399
248390,9582,1266,10848,0.8832964601769911
248610,6741,384,7125,0.9461052631578948
248820,18015,1195,19210,0.9377928162415409
248860,3241,377,3618,0.8957987838584853
249050,7466,899,8365,0.892528392109982
249130,10204,700,10904,0.9358033749082906
249230,2403,947,3350,0.7173134328358209
249590,1284,226,1510,0.8503311258278146
249650,1614,917,2531,0.637692611615962
249680,1331,127,1458,0.9128943758573388
249870,1326,293,1619,0.8190240889437924
249990,1292,433,1725,0.7489855072463768
250050,1869,78,1947,0.9599383667180277
250110,1068,56,1124,0.9501779359430605
250180,4657,494,5151,0.9040962919821394
250260,4027,298,4325,0.9310982658959538
250320,21379,528,21907,0.9758981147578399
250340,2305,1018,3323,0.6936503159795365
250380,1029,123,1152,0.8932291666666666
250400,11184,2376,13560,0.8247787610619469
250500,1518,69,1587,0.9565217391304348
250520,3237,463,3700,0.8748648648648648
250620,3889,543,4432,0.8774819494584838
250760,11055,427,11482,0.9628113569064622
250900,157442,3488,160930,0.9783259802398558
251060,10575,1318,11893,0.8891785083662659
251110,1483,185,1668,0.8890887290167866
251130,2119,103,2222,0.9536453645364537
251150,5018,392,5410,0.9275415896487985
251170,1491,591,2082,0.7161383285302594
251290,1910,43,1953,0.9779825908858167
251470,2174,101,2275,0.9556043956043956
251570,121585,16385,137970,0.8812422990505182
251730,2093,192,2285,0.9159737417943107
251870,1209,132,1341,0.901565995525727
251990,5077,255,5332,0.9521755438859715
252030,1772,327,2099,0.8442115292996665
252110,2331,154,2485,0.9380281690140845
252330,4914,657,5571,0.8820678513731826
252350,1322,370,1692,0.7813238770685579
252410,3485,219,3704,0.9408747300215983
252450,1039,791,1830,0.5677595628415301
252470,2007,534,2541,0.7898465171192444
252490,505358,72328,577686,0.8747970350674934
252530,3497,821,4318,0.8098656785548866
252610,4741,312,5053,0.9382545022758757
252630,1351,170,1521,0.8882314266929652
252670,1904,238,2142,0.8888888888888888
252870,3135,310,3445,0.9100145137880987
252950,361720,39350,401070,0.9018874510683921
253030,1692,96,1788,0.9463087248322147
253110,3026,217,3243,0.9330866481652791
253230,31547,577,32124,0.98203835138837
253250,6668,1951,8619,0.7736396333681401
253330,1216,361,1577,0.7710843373493976
253430,5056,1282,6338,0.7977279899021773
253750,1637,85,1722,0.9506387921022067
253840,1634,172,1806,0.9047619047619048
253900,1739,283,2022,0.8600395647873392
253980,1158,379,1537,0.7534157449577098
254200,1780,652,2432,0.7319078947368421
254320,1483,168,1651,0.8982434887946699
254440,1849,197,2046,0.9037145650048876
254460,1269,67,1336,0.9498502994011976
254700,27749,2882,30631,0.9059123110574255
255070,815,375,1190,0.6848739495798319
255220,3919,1143,5062,0.7741999209798499
255280,771,311,1082,0.7125693160813309
255300,1043,136,1179,0.8846480067854113
255320,839,166,1005,0.8348258706467662
255390,1064,59,1123,0.9474621549421193
255420,1570,1878,3448,0.45533642691415316
255710,124273,9061,133334,0.932042839785801
256190,1761,1019,2780,0.633453237410072
256290,10117,824,10941,0.9246869573165158
257030,1053,152,1205,0.8738589211618257
257170,976,157,1133,0.8614298323036187
257350,5384,542,5926,0.9085386432669592
257510,20966,985,21951,0.9551273290510683
257750,2074,408,2482,0.8356164383561644
257850,11104,667,11771,0.9433353156061507
258180,1101,2008,3109,0.3541331617883564
258520,5613,768,6381,0.8796426892336624
258760,891,230,1121,0.7948260481712757
258970,4294,1072,5366,0.8002236302646292
259060,989,106,1095,0.9031963470319635
259550,2856,181,3037,0.9404017122160027
259680,3985,178,4163,0.9572423732884938
260190,1099,119,1218,0.9022988505747126
260210,1073,831,1904,0.5635504201680672
260230,17060,799,17859,0.9552606528920993
260730,1246,203,1449,0.8599033816425121
260750,1782,40,1822,0.9780461031833151
261110,2387,713,3100,0.77
261180,2775,121,2896,0.9582182320441989
261470,886,334,1220,0.7262295081967213
261530,1745,495,2240,0.7790178571428571
261640,20573,4102,24675,0.833758865248227
261760,1123,820,1943,0.5779722079258878
262060,83940,8407,92347,0.9089629332842432
262150,1046,425,1471,0.7110808973487424
262260,956,123,1079,0.8860055607043559
262280,1567,459,2026,0.7734452122408687
262830,1462,105,1567,0.9329929802169751
262940,1267,160,1427,0.8878766643307638
262960,835,234,1069,0.7811038353601497
263060,2305,625,2930,0.7866894197952219
263280,17210,2513,19723,0.8725853064949551
263300,1949,318,2267,0.8597265108072343
263620,2058,474,2532,0.8127962085308057
263760,4087,322,4409,0.9269675663415741
263980,5676,430,6106,0.9295774647887324
264200,11911,219,12130,0.9819455894476504
264710,160295,6247,166542,0.9624899424769727
264730,811,214,1025,0.791219512195122
265210,3437,320,3757,0.9148256587702954
265300,6396,4329,10725,0.5963636363636363
265330,999,318,1317,0.7585421412300684
265550,6772,2422,9194,0.7365673265172938
265610,2169,45,2214,0.9796747967479674
265890,3906,135,4041,0.9665924276169265
265930,39263,4685,43948,0.8933967416037135
266010,6532,272,6804,0.9600235155790712
266130,1574,335,1909,0.8245154531168151
266210,3059,186,3245,0.9426810477657935
266310,815,297,1112,0.7329136690647482
266410,881,184,1065,0.8272300469483568
266510,6797,727,7524,0.9033758639021797
266840,19166,1761,20927,0.9158503368853634
267530,1744,311,2055,0.848661800486618
268050,11067,2159,13226,0.8367609254498715
268130,5384,308,5692,0.9458889669711876
268400,1524,139,1663,0.9164161154539988
268500,43881,7915,51796,0.8471889721213993
268540,899,293,1192,0.7541946308724832
268650,6768,708,7476,0.9052969502407705
268750,4774,786,5560,0.8586330935251798
268850,1626,538,2164,0.7513863216266173
268870,1761,570,2331,0.7554697554697555
268910,71014,2594,73608,0.9647592652972503
269030,836,168,1004,0.8326693227091634
269050,1062,82,1144,0.9283216783216783
269190,1983,545,2528,0.7844145569620253
269210,16865,5147,22012,0.7661729965473378
269650,2067,300,2367,0.8732572877059569
269670,1865,292,2157,0.8646267964765878
269770,4074,375,4449,0.9157113958192852
269790,2743,843,3586,0.7649191299498048
269950,10933,968,11901,0.9186622972859424
270150,9161,1231,10392,0.8815434949961509
270210,4013,310,4323,0.9282905389775619
270450,2027,183,2210,0.9171945701357466
270550,6881,1019,7900,0.8710126582278481
270630,1001,168,1169,0.8562874251497006
270850,3079,674,3753,0.8204103383959499
270880,74230,2573,76803,0.9664987044776897
271240,2428,743,3171,0.7656890570797855
271500,361,787,1148,0.3144599303135889
271590,956968,177217,1134185,0.8437494764963388
271900,1516,79,1595,0.9504702194357367
272270,1204,483,1687,0.7136929460580913
272470,1154,510,1664,0.6935096153846154
272510,4916,935,5851,0.840198256708255
272600,1150,62,1212,0.9488448844884488
273500,908,131,1039,0.8739172281039461
274170,31582,2267,33849,0.933026086442731
274190,36307,1076,37383,0.9712168632801006
274230,970,356,1326,0.7315233785822021
274270,1330,202,1532,0.8681462140992167
274290,1416,547,1963,0.7213448802852777
274310,1055,272,1327,0.7950263752825923
274350,1069,65,1134,0.9426807760141094
274500,3120,126,3246,0.9611829944547134
274520,9538,527,10065,0.9476403378042723
274560,1063,421,1484,0.7163072776280324
274900,3234,498,3732,0.8665594855305466
274920,5707,1259,6966,0.819265001435544
274940,20143,2331,22474,0.896280145946427
275100,2546,404,2950,0.8630508474576272
275200,1135,97,1232,0.9212662337662337
275390,1806,117,1923,0.9391575663026521
275670,1383,213,1596,0.8665413533834586
275850,124445,48659,173104,0.7189030871614752
276810,4149,1569,5718,0.7256033578174187
277430,2877,712,3589,0.8016160490387294
277590,1200,381,1581,0.7590132827324478
278080,7220,1348,8568,0.8426704014939309
278360,10610,811,11421,0.9289904561772174
278890,1696,207,1903,0.8912243825538623
280160,7131,742,7873,0.9057538422456497
280180,1112,217,1329,0.836719337848006
280220,3206,122,3328,0.9633413461538461
280680,1774,109,1883,0.942113648433351
280790,1720,308,2028,0.8481262327416174
281610,4344,919,5263,0.8253847615428462
281640,2232,248,2480,0.9
281920,1761,199,1960,0.898469387755102
281990,74994,10274,85268,0.8795093118168598
282070,59413,3375,62788,0.9462476906415238
282140,24719,1048,25767,0.959327822408507
282210,821,929,1750,0.46914285714285714
282400,1521,394,1915,0.7942558746736292
282440,2569,381,2950,0.8708474576271187
282530,1045,211,1256,0.8320063694267515
282560,756,2212,2968,0.25471698113207547
282760,1491,169,1660,0.8981927710843374
282800,11180,697,11877,0.9413151469226235
282900,9033,466,9499,0.9509422044425729
283160,1288,139,1427,0.9025928521373511
283290,926,100,1026,0.9025341130604289
283640,12521,1269,13790,0.9079767947788252
283680,958,124,1082,0.8853974121996303
284160,90546,3178,93724,0.9660919294951134
284390,1308,60,1368,0.956140350877193
284460,1290,216,1506,0.8565737051792829
285190,5388,5693,11081,0.48623770417832324
285310,4681,291,4972,0.9414722445695897
285330,2977,412,3389,0.8784302154027737
285440,1038,64,1102,0.941923774954628
285500,1410,303,1713,0.8231173380035026
285900,22143,5993,28136,0.7869988626670458
285920,11743,1072,12815,0.9163480296527506
286000,2139,440,2579,0.8293912369135323
286040,1908,739,2647,0.7208160181337363
286160,28498,1159,29657,0.9609198502882962
286260,2122,128,2250,0.9431111111111111
286340,2253,809,3062,0.7357935989549315
286570,636,610,1246,0.5104333868378812
286690,45999,6385,52384,0.8781116371411118
287290,12424,3488,15912,0.7807943690296631
287390,38050,4885,42935,0.8862233608943753
287450,8273,531,8804,0.9396865061335756
287630,2638,469,3107,0.8490505310588993
287700,41955,4351,46306,0.9060380944154105
287980,8156,311,8467,0.9632691626313925
288160,18073,422,18495,0.9771830224384969
288470,7287,1420,8707,0.8369128287584702
289070,114991,23086,138077,0.8328034357641027
289130,10951,2040,12991,0.8429682087599107
289650,27723,10027,37750,0.7343841059602649
289950,2980,855,3835,0.7770534550195567
290080,5444,2823,8267,0.6585218337970243
290300,5436,938,6374,0.8528396611233134
290340,8040,1661,9701,0.8287805380888568
290770,2299,310,2609,0.8811805289382906
290790,1656,723,2379,0.6960907944514502
291550,2403,399,2802,0.8576017130620985
291650,10868,1598,12466,0.8718113268089203
291860,6143,396,6539,0.9394402813885915
292030,525798,13748,539546,0.97451931809336
292120,8066,2863,10929,0.738036416872541
292140,1985,1367,3352,0.5921837708830548
292410,1551,277,1828,0.8484682713347921
292730,5110,5309,10419,0.4904501391688262
292910,2431,321,2752,0.8833575581395349
293180,699,459,1158,0.6036269430051814
293760,5905,502,6407,0.9216481972842204
293780,4086,191,4277,0.955342529810615
294100,99300,1770,101070,0.9824873849807064
294810,965,80,1045,0.9234449760765551
294860,8454,860,9314,0.9076658793214516
295690,953,131,1084,0.8791512915129152
295790,4128,922,5050,0.8174257425742574
296300,4558,1463,6021,0.7570171067928916
296470,4682,244,4926,0.950466910272026
296490,2721,102,2823,0.9638682252922423
296710,1998,180,2178,0.9173553719008265
296830,896,563,1459,0.6141192597669637
296870,1716,133,1849,0.9280692266089778
296970,1923,165,2088,0.9209770114942529
297000,9193,2740,11933,0.7703846476158552
297120,900,195,1095,0.821917808219178
297130,4672,951,5623,0.8308731993597723
297860,822,219,1041,0.7896253602305475
298030,2179,94,2273,0.9586449626044875
298050,4263,1446,5709,0.7467157120336311
298110,29695,6322,36017,0.8244717772163145
298520,1009,201,1210,0.8338842975206612
298600,1140,77,1217,0.9367296631059984
298610,2104,1420,3524,0.5970488081725313
298630,12050,1304,13354,0.9023513553991314
299030,1030,100,1130,0.911504424778761
299360,1400,505,1905,0.7349081364829396
299460,963,408,1371,0.7024070021881839
299740,15649,7472,23121,0.6768305869123308
300060,569,431,1000,0.569
300380,6393,1381,7774,0.8223565731926936
300550,3990,465,4455,0.8956228956228957
300570,1457,80,1537,0.9479505530253741
301120,863,146,1009,0.8553022794846382
301520,1686,874,2560,0.65859375
301640,9795,1411,11206,0.8740853114402999
301860,2767,932,3699,0.7480400108137334
301910,5086,1720,6806,0.7472818101674993
301970,1157,99,1256,0.9211783439490446
302080,1130,290,1420,0.795774647887324
302510,20308,3335,23643,0.8589434504927462
302610,1201,78,1279,0.9390148553557467
302670,8084,2073,10157,0.7959043024515112
303210,12460,1859,14319,0.8701724980794748
303310,1909,71,1980,0.9641414141414142
303390,2106,1386,3492,0.6030927835051546
303610,1002,173,1175,0.8527659574468085
303800,848,237,1085,0.7815668202764977
304050,804,246,1050,0.7657142857142857
304240,10503,885,11388,0.922286617492097
304390,42500,21302,63802,0.6661233190182126
304410,2783,81,2864,0.971717877094972
304430,29131,1097,30228,0.9637091438401482
304530,1707,1133,2840,0.601056338028169
304650,5448,1010,6458,0.8436048312170951
304730,1604,1046,2650,0.6052830188679246
304930,6962,734,7696,0.9046257796257796
305380,929,91,1020,0.9107843137254902
305620,69513,6067,75580,0.9197274411219899
306020,7416,447,7863,0.9431514689049981
306040,1313,397,1710,0.7678362573099415
306130,77323,15032,92355,0.837236749499215
306660,1878,377,2255,0.8328159645232815
306760,1916,536,2452,0.7814029363784666
307050,1087,316,1403,0.774768353528154
307110,3048,480,3528,0.8639455782312925
307230,1643,305,1948,0.8434291581108829
307670,2512,732,3244,0.7743526510480888
307690,35568,3071,38639,0.9205207174098708
307780,23502,4118,27620,0.8509051412020275
307880,2370,1730,4100,0.5780487804878048
307960,4210,991,5201,0.8094597192847529
308420,2340,322,2662,0.879038317054846
310060,1636,216,1852,0.8833693304535637
310080,4464,266,4730,0.9437632135306554
310360,1345,52,1397,0.9627773801002147
310470,684,794,1478,0.462787550744249
310510,1259,246,1505,0.8365448504983388
310560,17540,2179,19719,0.8894974390182058
310790,945,95,1040,0.9086538461538461
310950,14362,6690,21052,0.6822154664639939
311210,46274,10075,56349,0.8212035706046248
311240,2298,368,2666,0.8619654913728432
311260,2735,1881,4616,0.5925043327556326
311290,3155,1102,4257,0.7411322527601597
311310,4871,2834,7705,0.6321868916288125
311340,8303,1729,10032,0.8276515151515151
311560,8865,1668,10533,0.8416405582455141
311690,54206,2161,56367,0.9616619653343268
311730,2511,1266,3777,0.664813343923749
311770,1173,160,1333,0.8799699924981246
311870,979,90,1069,0.9158091674462114
312520,3793,362,4155,0.9128760529482551
312530,19849,599,20448,0.9707061815336463
312610,1726,198,1924,0.8970893970893971
312660,27431,2893,30324,0.9045970188629469
312670,2890,494,3384,0.8540189125295509
312750,877,183,1060,0.8273584905660377
312780,1133,282,1415,0.8007067137809187
312840,2668,588,3256,0.8194103194103194
313010,644,1223,1867,0.3449384038564542
313020,1791,261,2052,0.8728070175438597
313120,23508,7300,30808,0.763048558815892
313160,10138,984,11122,0.9115267038302464
313340,10849,1323,12172,0.8913079198159711
313630,1850,470,2320,0.7974137931034483
313690,2846,363,3209,0.8868806481770022
313740,4054,1147,5201,0.779465487406268
313780,1149,306,1455,0.7896907216494845
314020,3573,720,4293,0.8322851153039832
314160,16005,2764,18769,0.8527358942937823
314230,1102,77,1179,0.9346904156064462
314410,2301,189,2490,0.9240963855421687
314520,857,515,1372,0.6246355685131195
314660,2164,281,2445,0.8850715746421268
314710,920,684,1604,0.57356608478803
315430,2979,770,3749,0.7946118965057348
315460,3102,319,3421,0.9067524115755627
315660,831,423,1254,0.6626794258373205
315810,1678,53,1731,0.9693818601964183
316010,1212,204,1416,0.8559322033898306
316430,1222,578,1800,0.6788888888888889
316720,1661,46,1707,0.9730521382542472
316790,4452,454,4906,0.9074602527517326
317250,1869,417,2286,0.8175853018372703
317820,1155,351,1506,0.7669322709163346
318020,1359,784,2143,0.6341577228184788
318100,886,766,1652,0.5363196125907991
318130,1774,67,1841,0.9636067354698533
318220,741,831,1572,0.4713740458015267
318230,817,209,1026,0.7962962962962963
318430,2282,448,2730,0.8358974358974359
318600,1658,555,2213,0.7492092182557614
319510,21126,1968,23094,0.914783060535204
319630,106943,3420,110363,0.9690113534427299
319910,3866,2059,5925,0.6524894514767933
320040,2336,571,2907,0.803577571379429
320140,1646,169,1815,0.9068870523415978
320240,3130,1333,4463,0.7013219807304504
320300,10348,894,11242,0.9204767834904821
321360,4805,1000,5805,0.8277347114556417
321800,1704,190,1894,0.8996832101372756
321960,2591,2266,4857,0.5334568663784229
322110,3175,246,3421,0.9280912014030985
322170,144275,9084,153359,0.9407664369225152
322190,2378,93,2471,0.962363415621206
322210,1990,159,2149,0.9260120986505351
322330,196297,7361,203658,0.9638560724351609
322500,17053,1901,18954,0.899704547852696
322520,720,354,1074,0.6703910614525139
322770,2229,217,2446,0.911283728536386
322780,2549,1522,4071,0.6261360845001228
322910,1065,486,1551,0.6866537717601547
323060,958,363,1321,0.7252081756245269
323190,55598,5269,60867,0.9134342090130941
323220,2692,280,2972,0.9057873485868102
323320,3141,239,3380,0.9292899408284023
323470,10792,1456,12248,0.8811234487263226
323580,1449,368,1817,0.7974683544303798
323720,1007,311,1318,0.7640364188163885
323850,12683,1303,13986,0.9068354068354069
324080,3195,635,3830,0.8342036553524804
324160,4875,73,4948,0.9852465642683913
324310,1259,714,1973,0.638114546376077
324510,1159,366,1525,0.76
324570,832,188,1020,0.8156862745098039
324680,1094,46,1140,0.9596491228070175
324800,14398,2002,16400,0.8779268292682927
324810,1127,213,1340,0.841044776119403
325120,1010,97,1107,0.912375790424571
325610,15468,3805,19273,0.8025735484875214
326180,778,378,1156,0.6730103806228374
326410,1964,489,2453,0.8006522625356706
326460,21914,1502,23416,0.9358558250768705
326480,3383,277,3660,0.9243169398907104
327030,4469,810,5279,0.8465618488350066
327070,3478,1403,4881,0.7125589018643721
327090,1292,1002,2294,0.5632083696599826
327220,1068,144,1212,0.8811881188118812
327410,5164,952,6116,0.8443427076520602
327860,1420,414,1834,0.7742639040348964
327890,3496,992,4488,0.7789661319073083
328070,1110,204,1314,0.8447488584474886
328080,5414,682,6096,0.8881233595800525
329050,7193,727,7920,0.9082070707070707
329130,2830,178,3008,0.9408244680851063
329430,5806,1423,7229,0.8031539632037626
329440,1419,743,2162,0.6563367252543941
329490,2054,391,2445,0.840081799591002
330390,1475,211,1686,0.8748517200474496
330580,1059,346,1405,0.7537366548042704
330830,11776,627,12403,0.9494477142626784
331440,1088,226,1314,0.8280060882800608
331480,1441,156,1597,0.902316844082655
331500,1060,173,1233,0.8596918085969181
331600,4969,1116,6085,0.8165981922760888
331670,1089,94,1183,0.9205409974640744
331690,921,247,1168,0.788527397260274
331870,2759,372,3131,0.8811881188118812
332200,3784,315,4099,0.9231519882898268
332310,8704,2603,11307,0.7697886265145485
332500,2316,2105,4421,0.5238633793259444
332570,5416,514,5930,0.9133220910623946
332800,9862,747,10609,0.9295880855877086
333250,1431,255,1686,0.8487544483985765
333420,5723,1541,7264,0.7878579295154186
333600,19933,823,20756,0.9603488148005396
333640,4060,185,4245,0.9564193168433451
333930,1097,248,1345,0.8156133828996283
333950,2868,2376,5244,0.5469107551487414
333980,2263,343,2606,0.8683806600153492
334040,587,1042,1629,0.3603437691835482
334230,25084,2924,28008,0.8956012567837761
334420,891,288,1179,0.7557251908396947
334940,1830,58,1888,0.9692796610169492
335000,1997,135,2132,0.9366791744840526
335300,42580,6624,49204,0.8653767986342574
335620,2362,393,2755,0.8573502722323049
335670,10007,399,10406,0.9616567364981742
336140,1334,59,1393,0.9576453697056713
337000,18981,6281,25262,0.7513656875940147
337320,13977,727,14704,0.9505576713819369
337340,10969,217,11186,0.9806007509386734
338170,1909,234,2143,0.8908072795146991
338390,1211,545,1756,0.6896355353075171
339200,859,186,1045,0.8220095693779904
339230,1294,757,2051,0.6309117503656753
339340,4359,788,5147,0.8469011074412279
339350,1731,60,1791,0.966499162479062
339800,21068,754,21822,0.9654477133168362
340050,1635,387,2022,0.8086053412462908
340150,1228,351,1579,0.7777074097530082
340170,1316,873,2189,0.6011877569666514
341000,3308,335,3643,0.9080428218501235
341310,1098,395,1493,0.7354320160750167
341500,956,385,1341,0.7129008202833707
341800,8245,168,8413,0.9800309045524783
341940,7969,2000,9969,0.7993780720232722
342180,5020,1120,6140,0.8175895765472313
342310,795,353,1148,0.6925087108013938
342380,1314,232,1546,0.8499353169469599
342560,3497,159,3656,0.9565098468271335
342580,2053,146,2199,0.933606184629377
342940,1209,227,1436,0.8419220055710307
343710,1179,550,1729,0.681897050318103
343860,2099,300,2399,0.8749478949562317
344040,656,1312,1968,0.3333333333333333
344760,6823,5085,11908,0.5729761504870675
344770,1858,37,1895,0.9804749340369393
344850,970,289,1259,0.7704527402700556
345180,2762,457,3219,0.8580304442373408
345260,906,441,1347,0.6726057906458798
345350,2401,612,3013,0.7968801858612679
345390,1094,136,1230,0.8894308943089431
345660,1225,348,1573,0.778766687857597
345820,1256,57,1313,0.9565879664889566
346010,36567,1655,38222,0.9567003296530794
346110,318987,70413,389400,0.819175654853621
346560,1496,81,1577,0.9486366518706405
346940,2530,409,2939,0.8608370193943519
347430,1342,279,1621,0.8278840222085133
347620,3181,202,3383,0.9402896837126811
347830,1755,184,1939,0.9051057246003095
348020,1274,461,1735,0.7342939481268012
348470,817,249,1066,0.7664165103189493
348550,3047,95,3142,0.9697644812221515
348710,2093,160,2253,0.9289835774522859
349040,44997,4794,49791,0.903717539314334
350080,9202,1172,10374,0.8870252554463081
350640,7435,1869,9304,0.7991186586414445
351100,1193,416,1609,0.7414543194530765
351290,4397,3490,7887,0.5574996830226956
351710,2340,190,2530,0.924901185770751
351920,5758,311,6069,0.9487559729774263
351970,5073,1044,6117,0.8293281020107895
351990,1425,263,1688,0.8441943127962085
352400,3367,384,3751,0.8976272993868302
352460,2388,1392,3780,0.6317460317460317
352520,4962,369,5331,0.9307822172200337
352550,645,1224,1869,0.3451043338683788
352720,4042,923,4965,0.814098690835851
353270,2631,123,2754,0.9553376906318083
353330,1007,44,1051,0.9581351094196003
353560,3116,540,3656,0.8522975929978118
353640,1910,223,2133,0.8954524144397562
354140,5130,648,5778,0.8878504672897196
354240,3179,439,3618,0.8786622443338862
354380,2047,733,2780,0.7363309352517986
355050,1553,125,1678,0.9255065554231228
355790,2133,430,2563,0.832227857978931
355980,1375,60,1435,0.9581881533101045
356040,3769,865,4634,0.8133362106171774
356190,46257,6864,53121,0.8707855650307788
356400,2829,250,3079,0.9188048067554401
356500,2279,201,2480,0.9189516129032258
356570,5472,604,6076,0.9005924950625411
356650,2305,552,2857,0.8067903395169759
357070,2045,244,2289,0.8934032328527741
357190,2727,293,3020,0.9029801324503312
357310,1838,467,2305,0.7973969631236443
357770,204,841,1045,0.19521531100478468
358090,1327,323,1650,0.8042424242424242
358130,2769,273,3042,0.9102564102564102
359050,6584,305,6889,0.9557265205399913
359310,1530,193,1723,0.8879860708067324
359320,45893,13818,59711,0.7685853527825693
359390,2188,175,2363,0.9259415996614473
359550,746556,102909,849465,0.8788543377302185
359870,10041,1009,11050,0.9086877828054298
360150,621,489,1110,0.5594594594594594
360170,5663,2444,8107,0.6985321327248057
360430,12802,10168,22970,0.557335655202438
360640,1504,160,1664,0.9038461538461539
360740,5950,189,6139,0.9692132269099202
360830,1777,460,2237,0.7943674564148413
360940,6385,1382,7767,0.822067722415347
361280,6925,589,7514,0.9216129890870375
361300,2871,415,3286,0.8737066342057213
361420,65661,6394,72055,0.9112622302407883
361550,1084,481,1565,0.6926517571884984
361800,3367,1855,5222,0.6447721179624665
361990,1232,56,1288,0.9565217391304348
362490,5950,1312,7262,0.8193335169374828
362620,4430,310,4740,0.9345991561181435
362680,8615,264,8879,0.9702669219506701
362890,65755,3014,68769,0.9561721124343817
362930,7055,817,7872,0.896214430894309
362960,6762,1011,7773,0.8699343882670784
363130,690,324,1014,0.6804733727810651
363150,2430,2233,4663,0.5211237400814926
363360,838,355,1193,0.702430846605197
363440,2042,334,2376,0.8594276094276094
363600,743,283,1026,0.7241715399610137
363680,3021,1402,4423,0.6830205742708569
363890,4362,376,4738,0.9206416209371042
363930,3287,626,3913,0.8400204446716074
364360,22820,6152,28972,0.7876570481844539
364420,2285,548,2833,0.8065654782915637
364470,5365,2099,7464,0.7187834941050375
365160,1619,327,1946,0.8319630010277492
365360,12200,1661,13861,0.8801673760911911
365450,10999,732,11731,0.9376012275168357
365590,46234,19742,65976,0.7007699769613193
365960,3211,725,3936,0.8158028455284553
366090,4612,451,5063,0.9109223780367371
366220,1225,472,1697,0.7218621096051856
366250,1789,197,1986,0.9008056394763343
366320,1525,341,1866,0.8172561629153269
366910,701,467,1168,0.6001712328767124
367270,1742,397,2139,0.8143992519869098
367450,11141,971,12112,0.919831571994716
367500,17359,2009,19368,0.8962722015695993
367520,166614,4853,171467,0.9716971778826247
367580,7183,213,7396,0.9712006489994591
367670,2027,204,2231,0.9085611833258629
368070,7093,3833,10926,0.6491854292513272
368230,4916,651,5567,0.8830608945572122
368340,9466,575,10041,0.9427347873717757
368360,7884,1556,9440,0.8351694915254237
368370,5284,602,5886,0.8977234114848793
368390,1660,84,1744,0.9518348623853211
368500,14944,3908,18852,0.7927010396774878
368620,1416,225,1641,0.8628884826325411
368730,955,186,1141,0.8369851007887817
368990,478,964,1442,0.3314840499306519
369070,977,392,1369,0.7136596055514974
369580,2016,271,2287,0.8815041539134237
369990,4408,676,5084,0.8670338316286389
370280,1542,93,1635,0.9431192660550459
370360,2648,69,2717,0.9746043430253957
370910,1442,101,1543,0.9345430978613092
371520,721,314,1035,0.6966183574879227
371660,17553,3398,20951,0.8378120376115699
371970,2033,170,2203,0.9228325011348162
372000,3550,2200,5750,0.6173913043478261
372360,2763,472,3235,0.854095826893354
373180,1931,204,2135,0.9044496487119438
373390,2095,97,2192,0.9557481751824818
373420,15051,1717,16768,0.8976025763358778
373770,3205,100,3305,0.9697428139183056
373930,3645,1138,4783,0.7620740121262806
374030,1565,797,2362,0.6625740897544454
374040,12169,2477,14646,0.8308753243206336
374280,1446,1069,2515,0.5749502982107356
374320,185619,11242,196861,0.9428937168865341
374900,1012,252,1264,0.8006329113924051
375230,2007,1806,3813,0.5263571990558615
375480,5911,265,6176,0.9570919689119171
375530,2631,267,2898,0.9078674948240165
375820,2143,120,2263,0.9469730446310207
375900,847,455,1302,0.6505376344086021
375910,3293,1419,4712,0.6988539898132428
376210,35467,7082,42549,0.8335566053256246
376300,1700,158,1858,0.9149623250807319
376870,5113,1704,6817,0.750036673023324
377160,135212,31462,166674,0.8112363056025534
377530,3812,1084,4896,0.7785947712418301
377840,6360,409,6769,0.9395774855960999
378540,4146,1240,5386,0.7697734868176754
378610,5167,484,5651,0.9143514422226154
378660,670,425,1095,0.6118721461187214
378720,2679,289,2968,0.9026280323450134
378860,8417,2038,10455,0.8050693448110952
379430,52217,11893,64110,0.8144907190765871
379720,99407,4892,104299,0.95309638635078
379980,1055,95,1150,0.9173913043478261
380150,861,229,1090,0.789908256880734
381120,1324,607,1931,0.6856551009839461
381210,334065,71835,405900,0.8230229120473023
382110,1141,461,1602,0.712234706616729
382140,2159,650,2809,0.7686009255962977
382310,5789,1254,7043,0.82195087320744
382890,891,264,1155,0.7714285714285715
